duration,Type
75,Bot
76,Bot
64,Bot
86,Bot
129,Human
74,Bot
85,Human
112,Human
111,Human
112,Human
111,Human
90,Human
134,Bot
187,Human
149,Human
63,Bot
95,Human
95,Human
126,Human
73,Bot
87,Bot
186,Human
111,Human
114,Bot
124,Human
149,Human
75,Human
107,Bot
85,Bot
90,Human
299,Bot
149,Human
41,Bot
62,Human
115,Bot
78,Human
47,Bot
113,Human
374,Human
224,Human
104,Bot
148,Human
109,Human
112,Human
129,Bot
149,Human
187,Human
45,Bot
74,Bot
105,Human
112,Human
42,Bot
56,Bot
59,Bot
57,Bot
105,Bot
101,Bot
112,Human
268,Bot
181,Bot
69,Bot
127,Human
112,Human
51,Bot
148,Human
94,Human
95,Human
111,Human
450,Human
115,Bot
229,Bot
111,Bot
56,Bot
98,Human
126,Bot
99,Bot
148,Bot
150,Human
30,Bot
63,Human
474,Human
113,Human
221,Human
146,Human
90,Human
939,Human
125,Human
141,Human
153,Bot
78,Human
136,Human
73,Bot
54,Bot
102,Bot
64,Bot
163,Human
63,Human
94,Human
61,Bot
151,Human
150,Human
184,Human
63,Bot
96,Bot
73,Bot
93,Bot
112,Human
116,Bot
117,Bot
148,Human
90,Bot
77,Bot
143,Bot
97,Human
126,Bot
110,Human
275,Bot
111,Human
80,Bot
56,Bot
111,Human
72,Bot
70,Bot
154,Human
110,Bot
185,Human
135,Bot
61,Bot
74,Human
179,Bot
142,Bot
71,Bot
188,Human
33,Bot
74,Human
39,Bot
77,Bot
149,Human
132,Bot
121,Human
150,Human
62,Human
68,Bot
75,Bot
150,Human
161,Bot
48,Bot
118,Bot
66,Bot
64,Bot
148,Human
79,Human
151,Human
165,Bot
151,Bot
97,Human
42,Bot
94,Human
53,Bot
189,Human
71,Human
186,Human
260,Human
267,Bot
106,Human
84,Bot
184,Human
73,Human
146,Human
67,Bot
92,Bot
85,Bot
85,Human
163,Bot
99,Human
156,Bot
156,Bot
290,Bot
60,Bot
61,Bot
66,Bot
149,Human
57,Bot
69,Human
118,Human
61,Bot
45,Bot
184,Human
75,Bot
110,Human
234,Bot
116,Bot
92,Human
175,Bot
59,Bot
149,Human
79,Human
33,Bot
29,Bot
53,Bot
113,Human
75,Bot
75,Human
189,Human
110,Human
180,Bot
125,Bot
109,Human
61,Bot
150,Bot
113,Human
45,Bot
148,Human
131,Bot
72,Bot
113,Human
75,Human
141,Human
111,Human
110,Bot
184,Human
91,Human
111,Human
125,Bot
102,Human
114,Human
60,Human
79,Human
146,Bot
79,Human
131,Bot
148,Human
113,Human
99,Bot
152,Human
112,Human
85,Bot
72,Bot
139,Bot
77,Human
150,Human
36,Bot
150,Human
110,Human
155,Human
122,Bot
92,Bot
119,Bot
127,Bot
113,Human
151,Bot
112,Human
57,Bot
186,Human
201,Bot
79,Bot
93,Human
245,Bot
149,Human
106,Bot
74,Bot
72,Bot
148,Human
111,Human
126,Bot
138,Bot
150,Human
407,Human
102,Human
85,Bot
149,Human
335,Human
206,Bot
105,Bot
110,Human
88,Bot
113,Human
145,Bot
85,Human
262,Human
137,Bot
76,Human
192,Human
57,Bot
97,Bot
112,Human
93,Human
94,Bot
115,Human
38,Bot
121,Bot
185,Bot
149,Human
70,Bot
106,Bot
168,Human
149,Human
115,Bot
182,Human
93,Bot
59,Human
121,Bot
93,Bot
225,Human
156,Bot
63,Bot
102,Bot
143,Bot
76,Human
192,Human
61,Human
186,Human
154,Human
148,Human
154,Bot
57,Bot
120,Bot
79,Bot
46,Bot
151,Human
105,Bot
41,Bot
149,Human
116,Bot
85,Human
82,Bot
62,Human
155,Bot
120,Human
54,Bot
74,Human
151,Human
115,Human
227,Human
77,Human
52,Bot
96,Bot
39,Bot
86,Human
177,Human
148,Human
94,Human
109,Human
99,Human
109,Human
94,Human
112,Human
102,Bot
96,Human
100,Human
149,Bot
126,Human
67,Bot
40,Bot
52,Bot
43,Bot
93,Bot
150,Bot
186,Human
148,Bot
187,Human
1459,Human
46,Bot
57,Bot
270,Bot
112,Human
176,Bot
78,Human
88,Human
153,Bot
73,Bot
49,Bot
81,Bot
162,Bot
149,Human
150,Human
85,Human
74,Bot
44,Bot
58,Bot
65,Bot
102,Bot
107,Bot
148,Human
210,Human
124,Human
154,Bot
95,Human
148,Human
152,Human
103,Human
62,Human
123,Human
56,Bot
72,Bot
94,Human
66,Bot
104,Bot
42,Bot
56,Bot
71,Human
151,Human
122,Bot
80,Human
80,Human
36,Bot
224,Human
94,Human
84,Human
112,Human
143,Bot
98,Human
79,Human
80,Bot
95,Human
128,Human
70,Bot
167,Bot
94,Human
187,Human
149,Human
237,Bot
151,Human
97,Human
53,Bot
148,Human
120,Bot
102,Bot
153,Bot
129,Bot
136,Human
150,Human
54,Bot
91,Bot
157,Bot
97,Human
106,Bot
60,Bot
39,Human
186,Human
62,Human
94,Human
152,Human
101,Bot
58,Bot
44,Human
37,Bot
88,Bot
100,Bot
196,Bot
78,Human
259,Bot
81,Bot
125,Human
58,Bot
112,Bot
183,Human
74,Human
100,Human
80,Bot
150,Human
98,Bot
73,Bot
276,Bot
149,Human
150,Human
293,Bot
93,Human
50,Bot
230,Bot
225,Human
26,Bot
112,Human
52,Bot
113,Human
158,Bot
116,Bot
111,Human
48,Bot
107,Bot
81,Bot
54,Bot
66,Bot
223,Human
111,Human
71,Bot
125,Bot
109,Human
72,Human
152,Human
158,Bot
120,Bot
111,Human
148,Bot
85,Human
111,Human
142,Human
39,Bot
74,Human
191,Human
125,Human
49,Bot
147,Human
26,Bot
109,Human
134,Bot
98,Human
148,Human
113,Human
183,Human
1120,Human
64,Bot
223,Human
186,Human
186,Bot
35,Bot
76,Bot
301,Human
95,Human
79,Human
33,Human
106,Bot
137,Human
83,Bot
142,Bot
149,Human
32,Bot
112,Human
46,Human
72,Bot
103,Human
49,Bot
146,Human
63,Human
86,Human
911,Human
134,Bot
136,Bot
102,Human
65,Bot
262,Human
177,Bot
168,Human
69,Bot
150,Human
87,Bot
76,Bot
150,Human
215,Bot
96,Bot
86,Bot
90,Human
87,Bot
52,Bot
74,Human
94,Bot
124,Human
122,Bot
177,Bot
106,Human
112,Human
144,Bot
150,Bot
104,Bot
105,Human
118,Bot
72,Bot
148,Bot
136,Bot
95,Human
117,Bot
80,Bot
187,Human
44,Bot
134,Bot
91,Bot
209,Bot
188,Human
120,Human
121,Human
111,Bot
95,Human
74,Human
187,Bot
295,Bot
76,Bot
70,Bot
144,Human
109,Human
84,Bot
41,Bot
222,Human
149,Human
154,Bot
114,Human
74,Human
188,Human
45,Bot
111,Human
148,Human
55,Human
111,Human
105,Bot
141,Human
104,Bot
112,Human
205,Bot
112,Human
112,Human
80,Human
95,Human
94,Human
1796,Human
188,Human
235,Bot
227,Human
140,Bot
94,Bot
57,Bot
129,Bot
108,Human
138,Human
150,Human
75,Bot
113,Human
112,Human
59,Bot
178,Human
91,Bot
83,Human
70,Bot
150,Bot
65,Bot
128,Bot
244,Bot
44,Bot
43,Bot
269,Bot
149,Human
111,Human
301,Bot
77,Human
93,Human
255,Bot
279,Bot
285,Bot
50,Bot
187,Human
77,Bot
90,Bot
96,Bot
187,Human
186,Human
99,Human
68,Bot
60,Bot
113,Human
150,Human
46,Bot
186,Human
141,Bot
111,Human
90,Bot
107,Human
152,Human
152,Human
98,Bot
124,Bot
116,Human
152,Bot
187,Bot
75,Human
634,Human
42,Bot
92,Bot
91,Bot
61,Human
57,Human
136,Human
152,Human
67,Bot
150,Human
125,Human
79,Human
130,Bot
259,Bot
305,Human
224,Human
78,Bot
91,Bot
98,Bot
70,Bot
186,Bot
112,Human
60,Bot
63,Bot
100,Human
29,Bot
92,Human
111,Human
54,Human
147,Bot
165,Human
151,Human
127,Bot
149,Human
91,Bot
96,Human
123,Human
74,Human
98,Bot
110,Human
110,Human
48,Bot
150,Human
