duration,interArrivalTime,Type
149,277.0,Human
75,74.0,Human
151,113.0,Human
112,113.0,Human
113,147.0,Human
151,112.0,Human
111,75.0,Human
149,171.0,Human
225,1763.0,Human
149,74.0,Human
113,126.0,Human
73,159.0,Human
74,112.0,Human
150,239.0,Human
111,133.0,Human
189,213.0,Human
150,113.0,Human
113,37.0,Human
110,171.0,Human
150,112.0,Human
151,156.0,Human
264,225.0,Human
113,75.0,Human
111,201.0,Human
150,113.0,Human
113,113.0,Human
227,301.0,Human
111,142.0,Human
112,112.0,Human
113,75.0,Human
187,188.0,Human
1318,2079.0,Human
262,509.0,Human
226,113.0,Human
148,205.0,Human
111,317.0,Human
148,201.0,Human
264,404.0,Human
115,2.0,Human
888,36.0,Human
148,231.0,Human
186,225.0,Human
113,2.0,Human
188,266.0,Human
114,2.0,Human
296,2666.0,Human
222,74.0,Human
109,37.0,Human
148,185.0,Human
111,36.0,Human
150,248.0,Human
148,265.0,Human
185,235.0,Human
185,110.0,Human
111,317.0,Human
150,735.0,Human
109,111.0,Human
109,73.0,Human
150,111.0,Human
146,152.0,Human
149,111.0,Human
184,251.0,Human
110,110.0,Human
128,111.0,Human
148,111.0,Human
111,517.0,Human
147,111.0,Human
148,173.0,Human
258,259.0,Human
148,74.0,Human
147,157.0,Human
223,487.0,Human
149,155.0,Human
261,280.0,Human
184,404.0,Human
148,357.0,Human
185,147.0,Human
148,164.0,Human
149,223.0,Human
262,2.0,Human
184,146.0,Human
148,110.0,Human
183,235.0,Human
184,148.0,Human
111,74.0,Human
184,189.0,Human
149,73.0,Human
149,194.0,Human
108,110.0,Human
148,370.0,Human
186,111.0,Human
111,37.0,Human
63,36.0,Human
149,231.0,Human
185,147.0,Human
146,312.0,Human
148,258.0,Human
113,142.0,Human
148,73.0,Human
146,152.0,Human
186,444.0,Human
148,112.0,Human
149,294.0,Human
331,37.0,Human
146,509.0,Human
113,149.0,Human
152,172.0,Human
105,105.0,Human
112,224.0,Human
147,148.0,Human
148,74.0,Human
148,147.0,Human
149,160.0,Human
151,391.0,Human
114,140.0,Human
184,184.0,Human
147,36.0,Human
221,272.0,Human
182,369.0,Human
109,111.0,Human
184,477.0,Human
74,36.0,Human
177,432.0,Human
219,218.0,Human
335,1.0,Human
148,109.0,Human
111,123.0,Human
109,115.0,Human
150,4881.0,Human
112,288.0,Human
111,72.0,Human
112,189.0,Human
110,111.0,Human
148,74.0,Human
112,353.0,Human
150,174.0,Human
146,146.0,Human
146,260.0,Human
187,1282.0,Human
148,109.0,Human
138,148.0,Human
149,76.0,Human
186,147.0,Human
111,37.0,Human
150,259.0,Human
186,201.0,Human
151,343.0,Human
113,697.0,Human
108,110.0,Human
111,124.0,Human
152,202.0,Human
149,73.0,Human
183,185.0,Human
184,112.0,Human
183,73.0,Human
146,73.0,Human
112,202.0,Human
148,110.0,Human
74,97.0,Human
111,73.0,Human
111,137.0,Human
72,127.0,Human
149,226.0,Human
593,700.0,Human
149,37.0,Human
148,280.0,Human
148,194.0,Human
148,111.0,Human
259,186.0,Human
187,110.0,Human
185,206.0,Human
112,154.0,Human
44,5.0,Human
179,179.0,Human
143,2056.0,Human
148,185.0,Human
147,219.0,Human
113,160.0,Human
914,66.0,Human
114,373.0,Human
111,38.0,Human
114,134.0,Human
188,2444.0,Human
375,39.0,Human
39,151.0,Human
109,209.0,Human
150,237.0,Human
149,265.0,Human
187,191.0,Human
149,113.0,Human
187,241.0,Human
111,111.0,Human
148,681.0,Human
111,141.0,Human
110,174.0,Human
76,369.0,Human
113,192.0,Human
113,223.0,Human
188,557.0,Human
149,149.0,Human
188,607.0,Human
149,74.0,Human
113,113.0,Human
188,224.0,Human
149,75.0,Human
113,74.0,Human
177,112.0,Human
149,182.0,Human
65,76.0,Human
111,231.0,Human
188,213.0,Human
152,439.0,Human
148,172.0,Human
263,261.0,Human
152,1.0,Human
