duration,Type
88,Human
3,Bot
2,Bot
2,Bot
560,Human
110,Human
100,Human
4,Bot
1,Bot
2,Bot
4,Bot
2,Bot
226,Human
93,Human
112,Human
202,Human
179,Human
137,Human
88,Human
2,Bot
4,Bot
111,Human
215,Human
178,Human
109,Human
113,Human
83,Human
180,Human
64,Human
17,Bot
120,Human
72,Human
203,Human
215,Human
120,Human
75,Human
112,Human
179,Human
120,Human
3,Bot
181,Human
94,Human
1,Bot
136,Human
179,Human
17,Bot
4,Bot
96,Human
215,Human
16,Bot
2,Bot
12,Bot
63,Human
1,Bot
106,Human
97,Human
137,Human
556,Human
3,Bot
1,Bot
2542,Human
119,Human
120,Human
112,Human
3,Bot
3,Bot
144,Human
187,Human
136,Human
5,Bot
112,Human
5,Bot
1296,Human
556,Human
4,Bot
88,Human
179,Human
2,Bot
80,Human
2,Bot
81,Human
3,Bot
215,Human
88,Human
95,Human
3,Bot
112,Human
104,Human
112,Human
218,Human
105,Human
96,Human
179,Human
2,Bot
2,Bot
99,Human
3,Bot
3,Bot
4,Bot
436,Human
88,Human
23,Bot
105,Human
80,Human
96,Human
104,Human
88,Human
13,Bot
178,Human
2,Bot
128,Human
105,Human
4,Bot
4,Bot
2,Bot
155,Human
2,Bot
88,Human
556,Human
117,Human
14,Bot
206,Human
215,Human
112,Human
4,Bot
80,Human
203,Human
72,Human
15,Bot
664,Human
179,Human
5,Bot
88,Human
96,Human
122,Human
209,Human
136,Human
80,Human
112,Human
179,Human
28,Bot
128,Human
2,Bot
128,Human
37,Human
112,Human
103,Human
4,Bot
10,Bot
960,Human
120,Human
215,Human
2,Bot
88,Human
88,Human
4,Bot
3,Bot
88,Human
77,Human
104,Human
86,Human
104,Human
6,Bot
192,Human
2,Bot
96,Human
2,Bot
7,Bot
4,Bot
556,Human
2,Bot
71,Human
6,Bot
88,Human
109,Human
2,Bot
3,Bot
130,Human
180,Human
2,Bot
14,Bot
72,Human
180,Human
215,Human
1,Bot
4,Bot
9,Bot
104,Human
93,Human
1,Bot
4,Bot
31,Human
177,Human
120,Human
2,Bot
112,Human
96,Human
120,Human
161,Human
83,Human
19,Bot
9,Bot
2,Bot
112,Human
136,Human
5,Bot
153,Human
179,Human
112,Human
2,Bot
2,Bot
816,Human
179,Human
7,Bot
3,Bot
15,Bot
88,Human
90,Human
180,Human
80,Human
2,Bot
4,Bot
3,Bot
111,Human
203,Human
4,Bot
103,Human
80,Human
179,Human
85,Human
4,Bot
21,Bot
204,Human
94,Human
1,Bot
79,Human
136,Human
4,Bot
80,Human
87,Human
72,Human
180,Human
120,Human
1184,Human
72,Human
82,Human
180,Human
178,Human
3,Bot
181,Human
104,Human
80,Human
31,Bot
96,Human
72,Human
2,Bot
2,Bot
136,Human
4,Bot
180,Human
3,Bot
16,Bot
3,Bot
4,Bot
436,Human
2,Bot
95,Human
15,Bot
215,Human
3,Bot
215,Human
120,Human
180,Human
104,Human
3,Bot
2,Bot
6,Bot
79,Human
128,Human
104,Human
4,Bot
4,Bot
120,Human
98,Human
96,Human
180,Human
4,Bot
26,Bot
88,Human
120,Human
3,Bot
161,Human
33,Bot
180,Human
3,Bot
4,Bot
213,Human
153,Human
2,Bot
5,Bot
143,Human
72,Human
223,Human
4,Bot
2,Bot
2,Bot
79,Human
215,Human
80,Human
2,Bot
144,Human
113,Human
145,Human
215,Human
116,Human
97,Human
109,Human
215,Human
6,Bot
105,Human
5,Bot
128,Human
95,Human
1,Bot
3,Bot
119,Human
5,Bot
2,Bot
15,Bot
4,Bot
85,Human
3,Bot
215,Human
4,Bot
436,Human
3,Bot
17,Bot
180,Human
97,Human
3,Bot
289,Human
215,Human
4,Bot
3,Bot
2,Bot
96,Human
1,Bot
96,Human
104,Human
104,Human
96,Human
5,Bot
104,Human
78,Human
96,Human
128,Human
15,Bot
120,Human
752,Human
2,Bot
4,Bot
81,Human
600,Human
105,Human
112,Human
203,Human
104,Human
72,Human
2,Bot
103,Human
4,Bot
3,Bot
3,Bot
556,Human
78,Human
2,Bot
15,Bot
180,Human
2,Bot
2,Bot
16,Bot
215,Human
1,Bot
4,Bot
5,Bot
2,Bot
1,Bot
104,Human
3,Bot
128,Human
105,Human
2,Bot
95,Human
70,Human
203,Human
2,Bot
97,Human
104,Human
112,Human
179,Human
89,Human
112,Human
96,Human
80,Human
556,Human
215,Human
179,Human
881,Human
3,Bot
2,Bot
179,Human
2,Bot
88,Human
3,Bot
13,Bot
255,Human
104,Human
112,Human
2,Bot
111,Human
18,Bot
3,Bot
256,Human
112,Human
80,Human
104,Human
881,Human
1,Bot
87,Human
2,Bot
3,Bot
5,Bot
4,Bot
4,Bot
120,Human
120,Human
4,Bot
4,Bot
5,Bot
2,Bot
152,Human
2,Bot
3,Bot
2,Bot
179,Human
112,Human
88,Human
2,Bot
4,Bot
3,Bot
180,Human
96,Human
179,Human
219,Human
1184,Human
88,Human
3,Bot
4,Bot
112,Human
104,Human
16,Bot
1,Bot
112,Human
4,Bot
3,Bot
2,Bot
0,Bot
128,Human
80,Human
178,Human
38,Human
4521,Human
180,Human
3,Bot
94,Human
110,Human
5,Bot
112,Human
2,Bot
103,Human
4,Bot
4,Bot
128,Human
75,Human
92,Human
113,Human
1,Bot
120,Human
80,Human
4,Bot
3,Bot
5,Bot
121,Human
136,Human
112,Human
113,Human
3,Bot
2,Bot
5,Bot
113,Human
480,Human
88,Human
221,Human
126,Human
3,Bot
4,Bot
80,Human
128,Human
179,Human
104,Human
2,Bot
3,Bot
2,Bot
97,Human
136,Human
120,Human
2,Bot
203,Human
215,Human
5,Bot
95,Human
95,Human
88,Human
2,Bot
102,Human
120,Human
96,Human
2,Bot
130,Human
109,Human
114,Human
2,Bot
88,Human
5,Bot
241,Human
3,Bot
128,Human
103,Human
95,Human
3,Bot
2,Bot
103,Human
215,Human
425,Human
436,Human
2,Bot
3,Bot
10,Bot
3,Bot
58,Human
211,Human
3,Bot
180,Human
15,Bot
96,Human
215,Human
120,Human
80,Human
4,Bot
11,Bot
181,Human
215,Human
180,Human
3,Bot
4,Bot
104,Human
1,Bot
112,Human
104,Human
111,Human
3,Bot
179,Human
88,Human
1,Bot
3,Bot
1184,Human
2,Bot
5,Bot
2,Bot
88,Human
179,Human
16,Bot
89,Human
3,Bot
2,Bot
77,Human
81,Human
6,Bot
3,Bot
3,Bot
3,Bot
93,Human
1,Bot
4,Bot
178,Human
128,Human
2,Bot
112,Human
4,Bot
110,Human
2,Bot
101,Human
4,Bot
4,Bot
120,Human
2,Bot
112,Human
5,Bot
5,Bot
10,Bot
86,Human
4,Bot
1184,Human
79,Human
3,Bot
136,Human
1,Bot
80,Human
1,Bot
2,Bot
4,Bot
3,Bot
128,Human
2,Bot
314,Human
4,Bot
203,Human
88,Human
218,Human
119,Human
215,Human
4,Bot
219,Human
3,Bot
203,Human
137,Human
95,Human
3,Bot
215,Human
81,Human
120,Human
436,Human
2,Bot
2,Bot
98,Human
215,Human
4,Bot
40,Human
2,Bot
88,Human
113,Human
322,Human
1184,Human
215,Human
267,Human
6,Bot
104,Human
594,Human
104,Human
112,Human
104,Human
1328,Human
127,Human
121,Human
215,Human
3,Bot
179,Human
13,Bot
2,Bot
104,Human
5,Bot
520,Human
218,Human
2,Bot
80,Human
120,Human
3,Bot
88,Human
179,Human
