"id","user_id","time","distance","startX","startY","endX","endY","duration","gradient","variance"
1,1,1676931905479,711.3911,616,27,860,301,295,2.2969942,1.6647207
2,1,1676931905911,1229.1223,1148,403,1384,490,253,0.5735153,0.09096944
3,1,1676931906928,38.232513,2307,823,2290,843,56,0.80418926,0.075604685
4,1,1676931907064,374.2095,2280,847,2000,1077,191,0.9553669,0.4335859
5,1,1676931914006,0,751,444,751,444,0,-1.0,NULL
6,1,1676931934752,7.236068,1198,444,1196,443,856,0.5,0
7,1,1676931937207,339.42188,673,246,458,1,328,1.2093412,0.18420483
8,1,1676931936617,401.25186,983,485,673,246,543,0.62055016,0.26717895
9,1,1676931938329,746.78564,458,14,958,558,479,1.3237787,0.40987495
10,1,1676931938816,34.377453,958,558,986,571,209,0.5321429,0.25985968
11,1,1676931939239,1111.6641,1024,588,1823,434,193,0.4590046,0.46740323
12,1,1676931944450,108.39794,1825,15,1719,33,66,5.4131117,NULL
13,1,1676931946759,75.09616,54,315,31,248,106,0.7085061,0.40960398
14,1,1676931947192,14,24,278,24,291,112,-1.0,-1.0
15,1,1676931946944,29.98141,30,249,24,276,120,1.6666666,0.8888889
16,1,1676931950000,1042.6412,879,206,1813,160,230,1.0399206,2.595812
17,1,1676931950728,951.0941,1714,196,678,401,256,0.27290696,0.014829111
18,1,1676931951640,1725.9467,1804,693,58,395,477,0.34262994,0.386902
19,1,1676931950993,1220.7395,678,403,1819,640,215,0.20494096,0.0034199052
20,1,1676931952201,47.53155,56,395,15,419,142,0.62941176,0.16560553
21,1,1676931952424,0,14,419,13,419,8,0,NULL
22,1,1676931984249,18.697166,731,348,743,334,24,0.4918794,NULL
23,1,1676932004105,337.56644,1100,11,1426,78,265,0.18971212,0.01867743
24,1,1676932004424,311,1428,79,1110,80,104,0.05,NULL
25,1,1676932043934,179.53769,1008,0,1059,164,1178,2.461111,2.3994136
26,1,1676932045249,681.885,1060,165,1605,541,1679,0.7814696,0.2950574
27,1,1676932048218,87.72192,1659,631,1689,705,676,1.9583334,1.1996528
28,1,1676932047385,91.959145,1606,541,1656,618,254,1.6179653,1.2125065
29,1,1676932047793,12.650282,1656,620,1659,630,392,0.75,0.0625
30,1,1676932048953,4.1622777,1690,708,1691,713,80,3,NULL
31,1,1676932052033,237.44661,809,76,584,124,336,0.4052922,0.12527096
32,1,1676932051681,1101.3237,1689,679,810,75,297,0.87164605,0.27640033
33,1,1676932056400,19.242641,678,145,673,159,608,0.20938799,0.10704169
34,1,1676932059180,587.8024,798,153,1379,98,218,0.11569848,0.04830686
35,1,1676932060409,47.21283,1404,43,1399,89,89,2.6833334,NULL
36,1,1676932077752,20.329258,964,359,983,366,24,0.35227272,0.010459711
37,1,1676932078008,46.53109,983,366,964,416,94,2.5833333,1.2837301
38,1,1676932080969,27.160614,964,428,988,423,39,0.8642857,NULL
39,1,1676932091344,448.46783,514,604,958,586,720,0.08319871,0.04034321
40,1,1676932092977,119.645874,994,608,968,719,303,2.4506173,8.932356
41,1,1676932093289,265.51358,965,719,811,491,184,1.822607,2.5150628
42,1,1676932098596,402.49982,280,236,736,469,134,0.73023456,0.13209085
43,1,1676932097041,1570.592,1526,586,193,118,594,0.82834315,4.1172037
44,1,1676932100340,0,801,521,801,521,0,0.7692308,NULL
45,1,1676932101572,40.118694,751,583,744,619,165,5.125,8.296875
46,1,1676932101864,35.636337,743,620,745,659,87,3.3333333,2.8888888
47,1,1676932104705,154.20126,794,690,933,638,368,0.5483181,0.3212938
48,1,1676932105080,55.44966,935,636,990,643,329,0.24375,0.15371093
49,1,1676932107418,1061.705,1060,436,170,13,346,1.4818751,3.7343547
50,1,1676932108611,830.8919,199,65,1101,326,283,0.4873612,0.14687467
51,1,1676932110793,74.03312,1203,223,1214,295,135,2.7083333,NULL
52,1,1676932109850,213.85146,1113,375,1233,203,378,1.8508325,1.8396946
53,1,1676932108977,54.708202,1106,326,1111,379,267,1,1
54,1,1676932111245,46.702374,1331,163,1354,129,144,1.28,0.1096
55,1,1676932113924,100,1411,173,1411,74,348,2.5070512,3.43073
56,1,1676932117434,113.61789,1409,19,1389,128,139,5.6975307,23.50664
57,1,1676932118058,187.2078,1398,51,1385,236,695,3.107143,2.0698695
58,1,1676932119105,22,1385,236,1385,259,176,-1.0,-1.0
59,1,1676932119826,581.0484,1383,251,864,474,615,0.7066029,0.3782533
60,1,1676932120929,2,864,504,866,504,8,0,NULL
61,1,1676932207371,77.51788,833,663,905,688,66,0.5015664,0.08302741
62,1,1676932209109,97.02644,886,769,799,778,68,0.99452335,0.48579437
63,1,1676932209402,638.2275,799,776,1143,230,272,1.6164105,0.64164823
64,1,1676932210114,185.15018,1213,149,1385,93,882,0.74041235,NULL
65,2,1676932212150,22.2786,1408,225,1400,258,204,2.25,2.0625
66,2,1676932211730,167,1408,58,1408,220,317,-1.0,-1.0
67,2,1676932213214,12.851763,1390,274,1386,269,967,2.6666667,2.642857
68,2,1676932214217,73.294014,1386,270,1413,343,382,2.3333333,4.623016
69,2,1676932214713,471.4945,1414,344,1350,729,352,2.2659557,6.6304355
70,2,1676932217237,1107.032,1348,745,1058,600,1018,2.3527853,11.568808
71,2,1676932218641,4,1055,606,1053,606,288,0.33333334,0.22222222
72,2,1676932218938,501.67566,1051,606,549,598,203,0.043462303,0.006558781
73,2,1676932220573,7.3983455,751,894,753,891,276,1.4394848,5.2631426
74,2,1676932222538,328.68634,763,636,1089,625,165,2.8201973,9.629717
75,2,1676932223330,40.919746,1089,643,1123,663,136,0.4710575,0.20706682
76,2,1676932223582,180.27153,1126,661,1264,563,283,1.0568376,0.6389559
77,2,1676932224015,29.618864,1288,548,1300,549,266,0.25809523,0.1328517
78,2,1676932224289,441.4094,1310,535,1428,110,185,4.4869046,36.362232
79,2,1676932224545,96.19248,1428,106,1481,46,193,0.87642854,0.7753656
80,2,1676932227499,13.950845,1506,49,1496,56,118,0.6666667,0.26797387
81,2,1676932228729,87.763756,1445,70,1371,113,158,0.33962962,0.11888423
82,2,1676932230617,784.3627,1356,141,579,171,348,0.8009852,NULL
83,2,1676932231904,473.50125,533,129,863,453,565,1.3034778,0.94957536
84,2,1676932232552,76.40914,866,451,921,400,323,1.1243132,0.5140858
85,2,1676932233253,14.430753,928,415,933,413,49,0.8,0.56
86,2,1676932233715,12.236068,941,424,948,431,22,1.1611111,0.08524691
87,2,1676932234020,177.14894,949,433,1100,519,482,0.60083663,0.23577277
88,2,1676932236745,920.2867,1110,479,193,481,250,0.11794087,NULL
89,2,1676932235674,19.57649,1108,498,1110,490,1070,1.5,1.1666666
90,2,1676932235437,5.8863497,1103,501,1106,499,33,1.3,0.36
91,2,1676932251756,722.26605,183,16,749,105,542,0.61958915,0.41164875
92,2,1676932252998,77.552246,710,134,768,146,167,0.3620818,0.1257189
93,2,1676932253948,380.6695,1015,145,1381,93,134,0.08722642,0.023854082
94,2,1676932254204,37.24082,1389,89,1415,65,162,1.0966667,0.6141
95,2,1676932254609,161.53502,1419,64,1584,33,107,0.17114262,0.007935785
96,2,1676932255705,11.567196,1536,43,1528,46,43,0.2720238,0.122476265
97,2,1676932255859,1396.49,1526,48,159,350,382,0.30215597,NULL
98,2,1676932330882,175.87645,833,190,666,138,82,0.7579301,NULL
99,2,1676932331931,373.08386,729,228,740,465,283,5.9029913,58.65632
100,2,1676932335490,397.58145,1593,168,1678,146,73,1.7101712,16.210724
