"id","user_id","time","duration","X","Y","key","tagName","tagId"
14,1,1676932065096,143,1395,91,0,NULL,NULL
15,1,1676932066889,105,958,354,0,NULL,NULL
17,1,1676932081840,104,945,523,0,NULL,NULL
18,1,1676932090208,80,490,604,0,NULL,NULL
34,1,1676932123153,179,768,605,0,NULL,NULL
90,2,1676960368316,128,338,130,0,NULL,NULL
91,2,1676960372316,128,621,316,0,NULL,NULL
92,2,1676960373606,87,863,329,0,NULL,NULL
93,2,1676960376220,96,524,538,0,NULL,NULL
94,2,1676960379515,143,436,142,0,NULL,NULL
95,2,1676960380452,113,698,125,0,NULL,NULL
96,2,1676960383227,128,486,134,0,NULL,NULL
97,2,1676960386242,128,1090,226,0,NULL,NULL
98,2,1676960385906,112,1090,226,0,NULL,NULL
99,2,1676960387698,111,1086,230,0,NULL,NULL
100,2,1676960387210,119,1090,226,0,NULL,NULL
101,2,1676960386889,136,1090,226,0,NULL,NULL
102,2,1676960391185,112,1205,38,0,NULL,NULL
103,2,1676960392258,121,1183,204,0,NULL,NULL
104,2,1676960393378,128,713,518,0,NULL,NULL
105,2,1676960398401,179,641,584,0,NULL,NULL
106,2,1676960427203,112,850,743,0,NULL,NULL
107,2,1676960434515,112,467,147,0,NULL,NULL
108,2,1676960687490,120,1277,35,0,NULL,NULL
109,2,1676960688465,80,1218,112,0,NULL,NULL
110,2,1676960689689,104,656,349,0,NULL,NULL
111,2,1676960695547,180,664,398,0,NULL,NULL
112,2,1676960698434,104,704,503,0,NULL,NULL
113,3,1676939414670,72,356,127,0,NULL,NULL
114,3,1676939468710,96,288,145,0,NULL,NULL
115,3,1676939495178,96,628,211,0,NULL,NULL
116,3,1676939504114,104,998,212,0,NULL,NULL
117,3,1676939504490,120,998,212,0,NULL,NULL
118,3,1676939506034,112,922,63,0,NULL,NULL
119,3,1676939512506,128,588,503,0,NULL,NULL
120,3,1676939518746,72,500,225,0,NULL,NULL
121,3,1676939547215,120,884,48,0,NULL,NULL
122,3,1676939564599,88,858,89,0,NULL,NULL
123,3,1676939565967,112,847,201,0,NULL,NULL
124,3,1676939566903,128,470,496,0,NULL,NULL
125,3,1676939608591,136,385,591,0,NULL,NULL
126,3,1676939633967,104,479,117,0,NULL,NULL
127,4,1676966619320,178,184,276,0,NULL,NULL
128,4,1676966620743,180,1621,525,0,NULL,NULL
129,4,1676966622805,180,177,507,0,NULL,NULL
130,4,1676966621998,181,181,638,0,NULL,NULL
131,4,1676966623666,179,156,386,0,NULL,NULL
132,4,1676966641394,179,465,97,0,NULL,NULL
133,4,1676966645292,180,425,355,0,NULL,NULL
134,4,1676966647635,181,1108,626,0,NULL,NULL
135,4,1676966649254,178,1108,626,0,NULL,NULL
136,4,1676966656432,178,1396,39,0,NULL,NULL
137,4,1676966659743,178,1362,208,0,NULL,NULL
138,4,1676966664366,180,779,614,0,NULL,NULL
139,4,1676966685724,177,796,507,0,NULL,NULL
140,4,1676966687945,180,893,758,0,NULL,NULL
141,4,1676966690208,181,637,132,0,NULL,NULL
142,4,1676966691441,179,818,132,0,NULL,NULL
143,4,1676966692753,179,521,139,0,NULL,NULL
144,2,1677155024529,118,777,151,0,NULL,NULL
145,2,1677155027952,80,975,144,0,NULL,NULL
146,2,1677155026810,112,611,141,0,NULL,NULL
147,2,1677155032242,120,1212,55,0,NULL,NULL
148,2,1677155030058,113,1247,55,0,NULL,NULL
149,2,1677155033834,95,1100,201,0,NULL,NULL
150,2,1677155035177,105,590,521,0,NULL,NULL
151,2,1677155038936,179,546,590,0,NULL,NULL
152,2,1677155078797,88,1103,583,0,NULL,NULL
153,2,1677155080446,63,1203,40,0,NULL,NULL
154,2,1677155079278,112,742,757,0,NULL,NULL
155,2,1677155081373,104,1078,121,0,NULL,NULL
156,2,1677155082437,88,561,390,0,NULL,NULL
157,2,1677155082886,106,564,352,0,NULL,NULL
158,2,1677155087157,161,551,428,0,NULL,NULL
159,2,1677155088509,80,571,504,0,NULL,NULL
160,2,1677155091084,87,1180,53,0,NULL,NULL
161,2,1677155092052,79,1154,139,0,NULL,NULL
162,2,1677155092821,96,1156,68,0,NULL,NULL
163,2,1677155093540,62,1145,175,0,NULL,NULL
164,2,1677155094684,95,1149,58,0,NULL,NULL
165,2,1677155095732,88,1128,286,0,NULL,NULL
166,5,1677155115383,136,979,141,0,NULL,NULL
167,5,1677155117276,104,562,619,0,NULL,NULL
168,5,1677155118659,88,409,133,0,NULL,NULL
169,5,1677155120906,111,241,637,0,NULL,NULL
170,5,1677155120466,95,246,646,0,NULL,NULL
171,5,1677155122621,104,1010,126,0,NULL,NULL
172,5,1677155126673,128,733,133,0,NULL,NULL
173,5,1677155124124,96,605,140,0,NULL,NULL
174,5,1677155127834,111,287,139,0,NULL,NULL
175,5,1677155129486,103,1246,65,0,NULL,NULL
176,5,1677155131065,72,1013,226,0,NULL,NULL
177,5,1677155130689,97,1018,231,0,NULL,NULL
178,5,1677155132473,96,1009,227,0,NULL,NULL
179,5,1677155133313,88,304,133,0,NULL,NULL
180,5,1677155135777,128,466,604,0,NULL,NULL
181,5,1677155138296,104,476,916,0,NULL,NULL
182,5,1677155140809,104,1268,61,0,NULL,NULL
183,5,1677155142305,110,1004,222,0,NULL,NULL
184,5,1677155142657,73,1004,222,0,NULL,NULL
185,5,1677155143048,72,1004,222,0,NULL,NULL
186,5,1677155143872,96,1011,225,0,NULL,NULL
187,5,1677155143585,128,1011,223,0,NULL,NULL
188,5,1677155144225,104,1011,228,0,NULL,NULL
189,5,1677155144809,80,912,53,0,NULL,NULL
190,5,1677155155231,103,1097,32,0,NULL,NULL
191,5,1677155156352,134,1097,164,0,NULL,NULL
192,5,1677155158664,105,166,626,0,NULL,NULL
193,5,1677155158135,111,551,611,0,NULL,NULL
194,5,1677155160528,111,1262,47,0,NULL,NULL
195,5,1677155161599,114,1001,218,0,NULL,NULL
196,5,1677155161879,96,1007,220,0,NULL,NULL
197,5,1677155162320,103,1014,234,0,NULL,NULL
198,5,1677155163702,80,884,528,0,NULL,NULL
199,5,1677155164400,89,1114,63,0,NULL,NULL
200,5,1677155168334,96,1000,76,0,NULL,NULL
201,5,1677155169527,88,1094,43,0,NULL,NULL
202,5,1677155170061,119,1104,92,0,NULL,NULL
203,5,1677155170959,103,623,357,0,NULL,NULL
204,5,1677155176264,179,595,417,0,NULL,NULL
205,5,1677155178615,113,631,516,0,NULL,NULL
206,5,1677155182886,88,1146,56,0,NULL,NULL
207,5,1677155185079,120,1135,146,0,NULL,NULL
208,5,1677155186078,114,773,156,0,NULL,NULL
209,5,1677155186486,80,743,143,0,NULL,NULL
210,5,1677155187543,120,622,140,0,NULL,NULL
211,5,1677155188798,111,731,156,0,NULL,NULL
212,5,1677155189294,80,968,156,0,NULL,NULL
213,6,1677155272544,103,256,411,0,NULL,NULL
214,6,1677155273505,104,263,542,0,NULL,NULL
215,6,1677155274049,111,266,533,0,NULL,NULL
216,6,1677155275251,79,213,153,0,NULL,NULL
217,6,1677155274354,95,266,533,0,NULL,NULL
218,6,1677155275944,80,206,136,0,NULL,NULL
219,6,1677155278336,64,1800,115,0,NULL,NULL
220,7,1677159560122,82,923,757,0,NULL,NULL
221,7,1677159563362,58,550,136,0,NULL,NULL
222,7,1677159880164,81,864,139,0,NULL,NULL
223,7,1677159976472,63,547,143,0,NULL,NULL
224,7,1677159996995,72,1496,51,0,NULL,NULL
225,7,1677160009307,75,1614,166,0,NULL,NULL
226,7,1677160022918,72,939,614,0,NULL,NULL
227,8,1677160783159,116,529,257,0,NULL,NULL
228,8,1677160792946,84,968,47,0,NULL,NULL
229,9,1677161220104,202,1241,42,0,NULL,NULL
230,9,1677161222048,219,1208,210,0,NULL,NULL
231,9,1677161224749,219,647,421,0,NULL,NULL
232,9,1677161227443,204,634,501,0,NULL,NULL
233,9,1677161234559,219,720,659,0,NULL,NULL
234,9,1677161566949,204,362,679,0,NULL,NULL
235,9,1677161703601,203,643,523,0,NULL,NULL
236,6,1677162259464,119,1241,28,0,NULL,NULL
237,6,1677162262495,111,1177,203,0,NULL,NULL
238,6,1677162263952,121,701,491,0,NULL,NULL
239,6,1677162266775,128,567,515,0,NULL,NULL
240,6,1677162269720,121,608,589,0,NULL,NULL
241,6,1677162301583,96,1107,468,0,NULL,NULL
242,9,1677162404561,218,447,756,0,NULL,NULL
243,6,1677162475255,96,1356,392,0,NULL,NULL
244,6,1677162512207,81,660,607,0,NULL,NULL
245,6,1677162512342,71,660,607,0,NULL,NULL
246,6,1677162512510,96,660,607,0,NULL,NULL
