user_id,duration,interArrivalTime,Type
1,149,277.0,Human
1,75,74.0,Human
1,151,113.0,Human
1,112,113.0,Human
1,113,147.0,Human
1,151,112.0,Human
1,111,75.0,Human
1,149,171.0,Human
1,225,1763.0,Human
1,149,74.0,Human
1,113,126.0,Human
1,73,159.0,Human
1,74,112.0,Human
1,150,239.0,Human
1,111,133.0,Human
1,189,213.0,Human
1,150,113.0,Human
1,113,37.0,Human
1,110,171.0,Human
1,150,112.0,Human
1,151,156.0,Human
1,264,225.0,Human
1,113,75.0,Human
1,111,201.0,Human
1,150,113.0,Human
1,113,113.0,Human
1,227,301.0,Human
1,111,142.0,Human
1,112,112.0,Human
1,113,75.0,Human
1,187,188.0,Human
1,1318,2079.0,Human
1,262,509.0,Human
1,226,113.0,Human
1,148,205.0,Human
1,111,317.0,Human
1,148,201.0,Human
1,264,404.0,Human
1,115,2.0,Human
2,888,36.0,Human
2,148,231.0,Human
2,186,225.0,Human
2,113,2.0,Human
2,188,266.0,Human
2,114,2.0,Human
2,296,2666.0,Human
2,222,74.0,Human
2,109,37.0,Human
2,148,185.0,Human
2,111,36.0,Human
2,150,248.0,Human
2,148,265.0,Human
2,185,235.0,Human
2,185,110.0,Human
2,111,317.0,Human
2,150,735.0,Human
2,109,111.0,Human
2,109,73.0,Human
2,150,111.0,Human
2,146,152.0,Human
2,149,111.0,Human
2,184,251.0,Human
2,110,110.0,Human
2,128,111.0,Human
2,148,111.0,Human
2,111,517.0,Human
2,147,111.0,Human
2,148,173.0,Human
2,258,259.0,Human
2,148,74.0,Human
2,147,157.0,Human
2,223,487.0,Human
2,149,155.0,Human
2,261,280.0,Human
2,184,404.0,Human
2,148,357.0,Human
2,185,147.0,Human
2,148,164.0,Human
2,149,223.0,Human
2,262,2.0,Human
2,184,146.0,Human
2,148,110.0,Human
2,183,235.0,Human
2,184,148.0,Human
2,111,74.0,Human
2,184,189.0,Human
2,149,73.0,Human
2,149,194.0,Human
2,108,110.0,Human
2,148,370.0,Human
2,186,111.0,Human
2,111,37.0,Human
2,63,36.0,Human
2,149,231.0,Human
2,185,147.0,Human
2,146,312.0,Human
2,148,258.0,Human
2,113,142.0,Human
2,148,73.0,Human
2,146,152.0,Human
2,186,444.0,Human
