id,user_id,time,distance,startX,startY,endX,endY,duration,gradient,variance,velocity,displacement,efficiency,finalGradient,implify,distance_normalized,duration_normalized,gradient_normalized,variance_normalized,velocity_normalized,displacement_normalized,efficiency_normalized,finalGradient_normalized,implify_normalized
1,1,1676931905479,711.3911,616,27,860,301,295,2.2969942,1.6647207,2411.4952542372885,366.8950803703969,0.5157431409676012,1.1229508196721312,0.4888783870991625,1.020261225020568,-0.013012671722044407,0.6945813117267579,-0.09487700726718318,0.5565259784869165,0.6162983252695294,-1.4761133642045008,0.20497486588415917,0.1950631023904744
2,1,1676931905911,1229.1223,1148,403,1384,490,253,0.5735153,0.09096944,4858.1909090909085,251.52534663528445,0.2046381768805955,0.3686440677966102,0.6427798313255291,2.2719763189402977,-0.17246443457877395,-0.39974851428565733,-0.19793221009635464,1.7132121399117841,0.1322425365099068,-2.72569716906283,0.12008061162331428,0.2330074443065199
3,1,1676931906928,38.232513,2307,823,2290,843,56,0.80418926,0.075604685,682.7234464285714,26.248809496813376,0.6865572633641261,-1.1764705882352942,-1.4629275056910038,-0.6072295731959153,-0.9203691317877196,-0.2532811600799314,-0.19893835254287157,-0.2607585180081851,-0.8129482717134034,-0.7900215764563244,-0.05381595783623747,-0.2861538902249501
4,1,1676931907064,374.2095,2280,847,2000,1077,191,0.9553669,0.4335859,1959.2120418848167,362.3534186398688,0.9683169952656702,-0.8214285714285714,-0.8598043028584844,0.20505963370831007,-0.4078456083196604,-0.157290312452979,-0.17549638451492652,0.3427070951553942,0.597242914633862,0.341694205960212,-0.013857377095537573,-0.13745409640029344
6,1,1676931934752,7.236068,1198,444,1196,443,856,0.5,0.0,8.45335046728972,2.23606797749979,0.3090169934140737,0.5,1.0,-0.6821694610457353,2.116807303578557,-0.4464273482755893,-0.2038892341374068,-0.5795226795882622,-0.9136983225291547,-2.3064493467296696,0.1348642044778366,0.3210799395818399
7,1,1676931937207,339.42188,673,246,458,1,328,1.2093412,0.18420483,1034.8228048780488,325.96012026013244,0.9603391515600952,1.1395348837209305,0.9422774017133712,0.12095384862998396,0.11227085623681451,0.003971685898509276,-0.19182680305299066,-0.09430199344732776,0.444547869040582,0.30965040903323837,0.20684133698034957,0.30684845516218195
8,1,1676931936617,401.25186,983,485,673,246,543,0.62055016,0.26717895,738.9537016574585,391.434541143216,0.975533275143487,0.7709677419354839,1.2423939137095443,0.27043975796431624,0.9285120232415014,-0.36988354166526827,-0.1863933428973038,-0.23417541685802049,0.719258327477696,0.3706791065808369,0.165360556688872,0.3808420658334639
9,1,1676931938329,746.78564,458,14,958,558,479,1.3237787,0.40987495,1559.0514405010438,738.8748202503588,0.9894068400275596,1.088,0.8218896406174234,1.105834356329528,0.6855379084121993,0.07663423457508198,-0.17704906747291976,0.15352940603420487,2.17701048573622,0.42640364972872463,0.20104128877578342,0.2771668989396624
10,1,1676931938816,34.377453,958,558,986,571,209,0.5321429,0.25985968,164.48542105263158,30.870698080866266,0.8979925906921103,0.4642857142857143,0.8724831512094107,-0.6165499247412078,-0.3395091385239192,-0.42601808526428436,-0.186872636463945,-0.505757830075203,-0.793556253965928,0.05922929158858115,0.1308447022731508,0.28964070952854676
11,1,1676931939239,1111.6641,1024,588,1823,434,193,0.4590046,0.46740323,5759.917616580311,813.7057207615048,0.7319708541109718,-0.1927409261576971,-0.4199106635482457,1.9879984519609801,-0.4002526672312447,-0.4724575415952228,-0.1732818974540609,2.139507417737257,2.4909778443996435,-0.6076134053612083,0.05689894143876231,-0.028998488718466966
13,1,1676931946759,75.09616,54,315,31,248,106,0.7085061,0.40960398,708.4543396226414,70.83784299369935,0.9432951431031809,2.9130434782608696,4.11152914316598,-0.518104592188727,-0.7305456045773273,-0.3140355655067214,-0.17706681161649593,-0.24859412477045617,-0.6258664515462528,0.24119146624480944,0.406442744742259,1.0882262537929912
14,1,1676931947192,14.0,24,278,24,291,112,-1.0,0.0,125.0,13.0,0.9285714285714286,-1.0,1.0,-0.6658163500517549,-0.7077667813120803,-1.3988583522284794,-0.2038892341374068,-0.5244247370192732,-0.8685361865284843,0.18205221309843597,-0.03395488811896652,0.3210799395818399
15,1,1676931946944,29.98141,30,249,24,276,120,1.6666666,0.8888889,249.8450833333333,27.65863337187866,0.9225261044053186,-4.5,-2.700000108000004,-0.6271782070943289,-0.6773950169584174,0.29435227913528084,-0.1456814167965018,-0.465403673272691,-0.8070330859383914,0.15777057170689218,-0.4278661041781737,-0.5911536648075926
16,1,1676931950000,1042.6412,879,206,1813,160,230,1.0399206,2.595812,4533.2226086956525,935.1320762330848,0.896887708094678,-0.0492505353319057,-0.0473598997191764,1.8211222703514653,-0.2597832570955544,-0.10360260220035797,-0.03390561667145655,1.5595819427013997,3.0004453483201563,0.0547914215466388,0.07304821982247614,0.06285375889931274
17,1,1676931950728,951.0941,1714,196,678,401,256,0.27290696,0.014829111,3715.211328125,1056.087591064302,1.1103923271780385,-0.1978764478764478,-0.7250692612473053,1.5997894882541552,-0.1610750229461504,-0.5906209829941985,-0.20291816769207713,1.1728635021595515,3.507937350259585,0.9123538042362349,0.05632095869438187,-0.10423522368167515
18,1,1676931951640,1725.9467,1804,693,58,395,477,0.34262994,0.386902,3618.336897274633,1771.2481474937383,1.0262473038673432,0.1706758304696449,0.4981346068870831,3.4731451890173055,0.6779449673237835,-0.5463500977675403,-0.17855342339116975,1.1270656877324712,6.508530278965143,0.5743770101434684,0.09780006616429637,0.19734521982120057
19,1,1676931950993,1220.7395,678,403,1819,640,215,0.20494096,0.0034199052,5677.858139534884,1165.3540234623983,0.9546295695866304,0.2077125328659071,1.013523762482166,2.2517092821279316,-0.31673031525867207,-0.6337762667373066,-0.20366528577085075,2.100713438059435,3.9663855706641478,0.28671730930758627,0.10196840115850626,0.3244142180234374
20,1,1676931952201,47.53155,56,395,15,419,142,0.62941176,0.16560553,334.7292253521127,47.50789408087881,0.9995023112202066,-0.5853658536585366,-0.930020522111847,-0.5847473566097445,-0.5938726649858448,-0.3642568332755156,-0.19304475577696853,-0.4252743207711763,-0.723751715359426,0.4669531065391194,0.0127105521110441,-0.15476587826689375
23,1,1676932004105,337.56644,1100,11,1426,78,265,0.18971212,0.01867743,1273.8356226415094,332.8137617346975,0.9859207619534024,0.205521472392638,1.0833333810862376,0.1164679643451226,-0.1269067880482798,-0.6434458796507986,-0.20266616516462793,0.01869237026183522,0.4733036329869849,0.4124014729498278,0.10172180593122493,0.3416257526562476
25,1,1676932043934,179.53769,1008,0,1059,164,1178,2.461111,2.3994136,152.40890492359932,171.74690681348528,0.9566064195962714,3.215686274509804,1.306599448180031,-0.2655970370460771,3.3392708188134836,0.7987879307864483,-0.046766528978096904,-0.5114670563359215,-0.20248316982324432,0.29465752255339794,0.4405039995713952,0.39667191567728494
26,1,1676932045249,681.885,1060,165,1605,541,1679,0.7814696,0.2950574,406.1256700416915,662.11856944206,0.97101207599824,0.689908256880734,0.8828344146473951,0.9489245338327372,5.241302561461614,-0.26770709913544366,-0.18456775622910762,-0.3915213366664522,1.8549649515708355,0.35251926381837967,0.15623763088000067,0.2921928095502738
27,1,1676932048218,87.72192,1659,631,1689,705,676,1.9583334,1.1996528,129.76615384615383,79.84985911070852,0.910261187975691,2.466666666666667,1.259574425205977,-0.48757938071951673,1.433442605621145,0.4795472812310986,-0.1253314176826111,-0.5221715167684701,-0.5880548138783602,0.10850732390440046,0.3562047925492007,0.3850779143389161
28,1,1676932047385,91.959145,1606,541,1656,618,254,1.6179653,1.2125065,362.043877952756,91.80958555619344,0.9983736316403704,1.54,0.9518127490126024,-0.4773350715319808,-0.1686679640345661,0.2634291937667402,-0.12448970864365834,-0.41236119828918044,-0.5378754936139103,0.4624196535677834,0.25191210867828673,0.3091993913735283
29,1,1676932047793,12.650282,1656,620,1659,630,392,0.75,0.0625,32.271127551020406,10.44030650891055,0.8253022745983489,3.333333333333333,4.444444444444445,-0.6690795538013746,0.35524497106611663,-0.2876888476167742,-0.19979649703178362,-0.5682627204290583,-0.8792758702540009,-0.23273853999958394,0.45374471271624245,1.1703063933543403
31,1,1676932052033,237.44661,809,76,584,124,336,0.4052922,0.12527096,706.6863392857142,230.0630348404541,0.9689042721665057,-0.2133333333333333,-0.5263692055591827,-0.12559104699450188,0.14264262059047728,-0.5065624449663689,-0.19568601643742223,-0.24942995472710053,0.04219330151466547,0.34405306161654986,0.05458134710957912,-0.055245801329810475
32,1,1676932051681,1101.3237,1689,679,810,75,297,0.87164605,0.27640033,3708.1606060606055,1066.516291483632,0.9683949337362232,0.6871444823663254,0.7883297152167734,1.962998539347702,-0.005419730633628715,-0.21044920126450525,-0.185789491951847,1.1695302422080083,3.5516929579374783,0.34200725352235656,0.1559265789428909,0.2688927122321859
33,1,1676932056400,19.242641,678,145,673,159,608,0.20938799,0.10704169,31.649080592105264,14.866068747318506,0.7725586496842355,-2.8,-13.372304686625052,-0.6531412536470907,1.1752826086150114,-0.6309526072389675,-0.196879738193221,-0.5685567958722815,-0.8607067381097433,-0.44458851705030783,-0.23653779923513021,-3.222406256355074
34,1,1676932059180,587.8024,798,153,1379,98,218,0.11569848,0.04830686,2696.3412844036698,583.5974640109397,0.9928463443002948,-0.0946643717728055,-0.8181989233808906,0.7214616911545052,-0.30534090362604854,-0.6904411366184037,-0.20072591768335651,0.6911881954964838,1.525514632208864,0.4402187582357973,0.06793707138294791,-0.12719630608272747
36,1,1676932077752,20.329258,964,359,983,366,24,0.35227272,0.010459711,847.0524166666667,20.248456731316587,0.9960253704939248,0.3684210526315789,1.045840429061833,-0.6505141473413287,-1.0418561892023708,-0.5402273760100091,-0.20320429258022607,-0.18307127259270428,-0.8381238996420182,0.4529876308201302,0.12005551214478367,0.3323818797464951
37,1,1676932078008,46.53109,983,366,964,416,94,2.5833333,1.2837301,495.0115957446809,53.48831648126533,1.1495178058641078,-2.631578947368421,-1.0186757347061726,-0.5871661617404049,-0.7761032511078214,0.876393469382736,-0.11982571711540133,-0.34950012327927354,-0.6986597090904217,1.0695051523894867,-0.21758267304882248,-0.1766237868539691
39,1,1676932091344,448.46783,514,604,958,586,720,0.08319871,0.04034321,622.871986111111,444.3647150708526,0.9908508154773388,-0.0405405405405405,-0.4872736673506181,0.3845934777383247,1.6004873095662902,-0.7110769956646291,-0.20124740769697563,-0.28905355983447134,0.9413369980287785,0.43220351969207377,0.07402849543394359,-0.04560681141236922
40,1,1676932092977,119.645874,994,608,968,719,303,2.4506173,8.932356,394.8708712871287,114.00438588054408,0.952848452430078,-4.269230769230769,-1.7421042319544422,-0.4103970608604874,0.01735909263161836,0.792124913968995,0.3810353233319652,-0.39684209241439317,-0.4447529628639228,0.2795632763916707,-0.4018939360863579,-0.3549848047728418
41,1,1676932093289,265.51358,965,719,811,491,184,1.822607,2.5150628,1443.0085869565216,275.13632984395207,1.0362420251497195,1.4805194805194806,0.8123086768126538,-0.057733730322081456,-0.4344209021291153,0.3933672602878243,-0.03919338062488674,0.09866963524050894,0.23130693347473585,0.6145217949918308,0.24521781046102822,0.27480471599641004
42,1,1676932098596,402.49982,280,236,736,469,134,0.73023456,0.13209085,3003.73,512.0790954530364,1.272246768838397,0.5109649122807017,0.6997271017694667,0.27345694211046784,-0.6242444293395076,-0.3002389928586213,-0.19523942416767393,0.8365075664624291,1.2254456350611214,1.5624581496834788,0.13609826217225765,0.24704777194458954
43,1,1676932097041,1570.592,1526,586,193,118,594,0.82834315,4.1172037,2644.094276094276,1412.7678507100875,0.8995129548030854,0.3510877719429857,0.4238433938193196,3.097545219571054,1.1221320209961014,-0.23794455094521963,0.06572088353297727,0.6664881918947113,5.004457614527832,0.06533598415177304,0.11810471966640103,0.17902874979604103
