id,user_id,time,distance,startX,startY,endX,endY,duration,gradient,variance,velocity,displacement,efficiency,finalGradient,implify
1,1,1676931905479,711.3911,616,27,860,301,295,2.2969942,1.6647207,2411.4952542372885,366.8950803703969,0.5157431409676012,1.1229508196721312,0.48887838709916254
2,1,1676931905911,1229.1223,1148,403,1384,490,253,0.5735153,0.09096944,4858.1909090909085,251.52534663528445,0.20463817688059557,0.3686440677966102,0.6427798313255291
3,1,1676931906928,38.232513,2307,823,2290,843,56,0.80418926,0.075604685,682.7234464285714,26.248809496813376,0.6865572633641261,-1.1764705882352942,-1.4629275056910038
4,1,1676931907064,374.2095,2280,847,2000,1077,191,0.9553669,0.4335859,1959.2120418848167,362.3534186398688,0.9683169952656702,-0.8214285714285714,-0.8598043028584844
6,1,1676931934752,7.236068,1198,444,1196,443,856,0.5,0.0,8.45335046728972,2.23606797749979,0.30901699341407374,0.5,1.0
7,1,1676931937207,339.42188,673,246,458,1,328,1.2093412,0.18420483,1034.8228048780488,325.96012026013244,0.9603391515600952,1.1395348837209303,0.9422774017133712
8,1,1676931936617,401.25186,983,485,673,246,543,0.62055016,0.26717895,738.9537016574585,391.43454114321594,0.975533275143487,0.7709677419354839,1.2423939137095443
9,1,1676931938329,746.78564,458,14,958,558,479,1.3237787,0.40987495,1559.0514405010438,738.8748202503588,0.9894068400275597,1.088,0.8218896406174234
10,1,1676931938816,34.377453,958,558,986,571,209,0.5321429,0.25985968,164.48542105263158,30.870698080866262,0.8979925906921103,0.4642857142857143,0.8724831512094107
11,1,1676931939239,1111.6641,1024,588,1823,434,193,0.4590046,0.46740323,5759.917616580311,813.7057207615048,0.7319708541109718,-0.1927409261576971,-0.41991066354824574
13,1,1676931946759,75.09616,54,315,31,248,106,0.7085061,0.40960398,708.4543396226414,70.83784299369935,0.9432951431031807,2.9130434782608696,4.1115291431659795
14,1,1676931947192,14.0,24,278,24,291,112,-1.0,-1.0,125.0,13.0,0.9285714285714286,inf,-inf
15,1,1676931946944,29.98141,30,249,24,276,120,1.6666666,0.8888889,249.84508333333332,27.65863337187866,0.9225261044053186,-4.5,-2.7000001080000042
16,1,1676931950000,1042.6412,879,206,1813,160,230,1.0399206,2.595812,4533.2226086956525,935.1320762330848,0.896887708094678,-0.04925053533190578,-0.047359899719176424
17,1,1676931950728,951.0941,1714,196,678,401,256,0.27290696,0.014829111,3715.211328125,1056.087591064302,1.1103923271780383,-0.19787644787644787,-0.7250692612473053
18,1,1676931951640,1725.9467,1804,693,58,395,477,0.34262994,0.386902,3618.336897274633,1771.2481474937383,1.0262473038673432,0.1706758304696449,0.49813460688708316
19,1,1676931950993,1220.7395,678,403,1819,640,215,0.20494096,0.0034199052,5677.858139534884,1165.3540234623983,0.9546295695866305,0.2077125328659071,1.013523762482166
20,1,1676931952201,47.53155,56,395,15,419,142,0.62941176,0.16560553,334.7292253521127,47.50789408087881,0.9995023112202066,-0.5853658536585366,-0.930020522111847
23,1,1676932004105,337.56644,1100,11,1426,78,265,0.18971212,0.01867743,1273.8356226415094,332.8137617346975,0.9859207619534024,0.20552147239263804,1.0833333810862376
25,1,1676932043934,179.53769,1008,0,1059,164,1178,2.461111,2.3994136,152.40890492359932,171.74690681348528,0.9566064195962714,3.215686274509804,1.306599448180031
26,1,1676932045249,681.885,1060,165,1605,541,1679,0.7814696,0.2950574,406.1256700416915,662.11856944206,0.9710120759982401,0.689908256880734,0.8828344146473951
27,1,1676932048218,87.72192,1659,631,1689,705,676,1.9583334,1.1996528,129.76615384615383,79.84985911070852,0.910261187975691,2.466666666666667,1.259574425205977
28,1,1676932047385,91.959145,1606,541,1656,618,254,1.6179653,1.2125065,362.04387795275596,91.80958555619343,0.9983736316403705,1.54,0.9518127490126024
29,1,1676932047793,12.650282,1656,620,1659,630,392,0.75,0.0625,32.271127551020406,10.44030650891055,0.8253022745983489,3.3333333333333335,4.444444444444445
31,1,1676932052033,237.44661,809,76,584,124,336,0.4052922,0.12527096,706.6863392857142,230.0630348404541,0.9689042721665055,-0.21333333333333335,-0.5263692055591827
32,1,1676932051681,1101.3237,1689,679,810,75,297,0.87164605,0.27640033,3708.1606060606055,1066.5162914836321,0.9683949337362232,0.6871444823663254,0.7883297152167734
33,1,1676932056400,19.242641,678,145,673,159,608,0.20938799,0.10704169,31.649080592105264,14.866068747318506,0.7725586496842355,-2.8,-13.372304686625053
34,1,1676932059180,587.8024,798,153,1379,98,218,0.11569848,0.04830686,2696.3412844036698,583.5974640109397,0.9928463443002948,-0.09466437177280551,-0.8181989233808906
36,1,1676932077752,20.329258,964,359,983,366,24,0.35227272,0.010459711,847.0524166666667,20.248456731316587,0.9960253704939249,0.3684210526315789,1.045840429061833
37,1,1676932078008,46.53109,983,366,964,416,94,2.5833333,1.2837301,495.01159574468085,53.48831648126533,1.1495178058641078,-2.6315789473684212,-1.0186757347061726
39,1,1676932091344,448.46783,514,604,958,586,720,0.08319871,0.04034321,622.871986111111,444.3647150708526,0.9908508154773389,-0.04054054054054054,-0.4872736673506181
40,1,1676932092977,119.645874,994,608,968,719,303,2.4506173,8.932356,394.8708712871287,114.00438588054409,0.9528484524300779,-4.269230769230769,-1.7421042319544422
41,1,1676932093289,265.51358,965,719,811,491,184,1.822607,2.5150628,1443.0085869565216,275.13632984395207,1.0362420251497195,1.4805194805194806,0.8123086768126538
42,1,1676932098596,402.49982,280,236,736,469,134,0.73023456,0.13209085,3003.73,512.0790954530364,1.272246768838397,0.5109649122807017,0.6997271017694667
43,1,1676932097041,1570.592,1526,586,193,118,594,0.82834315,4.1172037,2644.094276094276,1412.7678507100875,0.8995129548030854,0.35108777194298574,0.4238433938193196
45,1,1676932101572,40.118694,751,583,744,619,165,5.125,8.296875,243.1436,36.6742416417845,0.91414345745613,-5.142857142857143,-1.0034843205574913
46,1,1676932101864,35.636337,743,620,745,659,87,3.3333333,2.8888888,409.6130689655172,39.05124837953327,1.0958266664593859,19.5,5.850000058500001
47,1,1676932104705,154.20126,794,690,933,638,368,0.5483181,0.3212938,419.02516304347824,148.4082207965583,0.9624319593533692,-0.37410071942446044,-0.6822695063767918
48,1,1676932105080,55.44966,935,636,990,643,329,0.24375,0.15371093,168.54,55.44366510251645,0.9998918857665935,0.12727272727272726,0.5221445221445221
49,1,1676932107418,1061.705,1060,436,170,13,346,1.4818751,3.7343547,3068.511560693641,985.4080373124627,0.9281373237504418,0.4752808988764045,0.3207293913477624
50,1,1676932108611,830.8919,199,65,1101,326,283,0.4873612,0.14687467,2936.013780918728,939.0021299230369,1.1301134719486818,0.2893569844789357,0.593721831936838
52,1,1676932109850,213.85146,1113,375,1233,203,378,1.8508325,1.8396946,565.7446031746032,209.72362766269327,0.98069766585972,-1.4333333333333333,-0.7744262829474484
53,1,1676932108977,54.708202,1106,326,1111,379,267,1.0,1.0,204.8996329588015,53.23532661682466,0.9730776130574472,10.6,10.6
54,1,1676932111245,46.702374,1331,163,1354,129,144,1.28,0.1096,324.3220416666667,41.048751503547585,0.878943573693868,-1.4782608695652173,-1.154891304347826
55,1,1676932113924,100.0,1411,173,1411,74,348,2.5070512,3.43073,287.35632183908046,99.0,0.99,-inf,-inf
56,1,1676932117434,113.61789,1409,19,1389,128,139,5.6975307,23.50664,817.394892086331,110.81967334368028,0.9753716896492294,-5.45,-0.9565547404597575
57,1,1676932118058,187.2078,1398,51,1385,236,695,3.107143,2.0698695,269.3637410071942,185.4561942885705,0.9906435217366504,-14.23076923076923,-4.580017472890443
58,1,1676932119105,22.0,1385,236,1385,259,176,-1.0,-1.0,125.0,23.0,1.0454545454545454,inf,-inf
59,1,1676932119826,581.0484,1383,251,864,474,615,0.7066029,0.3782533,944.7941463414634,564.8805183399406,0.9721746387046942,-0.4296724470134875,-0.6080819184488027
61,1,1676932207371,77.51788,833,663,905,688,66,0.5015664,0.08302741,1174.5133333333335,76.21679604916491,0.9832156922914418,0.3472222222222222,0.6922756831841651
62,1,1676932209109,97.02644,886,769,799,778,68,0.99452335,0.48579437,1426.8594117647058,87.46427842267951,0.9014478777401245,-0.10344827586206896,-0.1040179457446313
63,1,1676932209402,638.2275,799,776,1143,230,272,1.6164105,0.64164823,2346.424632352941,645.3309228605119,1.0111299228888007,-1.5872093023255813,-0.9819345409631905
65,2,1676932212150,22.2786,1408,225,1400,258,204,2.25,2.0625,109.20882352941177,33.95585369269929,1.52414665610493,-4.125,-1.8333333333333333
66,2,1676932211730,167.0,1408,58,1408,220,317,-1.0,-1.0,526.813880126183,162.0,0.9700598802395209,inf,-inf
67,2,1676932213214,12.851763,1390,274,1386,269,967,2.6666667,2.642857,13.290344364012409,6.4031242374328485,0.49822924974829125,1.25,0.46874999414062507
68,2,1676932214217,73.294014,1386,270,1413,343,382,2.3333333,4.623016,191.86914659685863,77.83315488916018,1.0619305812499256,2.7037037037037037,1.158730175283447
69,2,1676932214713,471.4945,1414,344,1350,729,352,2.2659557,6.6304355,1339.4730113636365,390.2832304878087,0.8277577585482093,-6.015625,-2.654784910402264
