"id","user_id","time","duration","startY","endY","speedList"
1,1,36974,101,5675,6480,"{3.0555556,13.4375,14.191176,11.484375,6.1764708,0.29411766}"
2,1,39983,22326,24450,25260,"{10.735294,16.102942,14.140625,6.25,0.15625}"
3,1,65802,81,25,540,"{4.75,5.9722223,10.333333,7.9411764,2.890625}"
4,2,72701,108489,0,465,"{-85.46176,3.2291667,11.25,8.75}"
5,2,40559,20,4,307,"{15.15}"
6,2,40613,30,668,792,"{7.769231,1.3529412}"
7,4,59738,101,6,396,"{2.235294,5.9375,6.2222223,5,3.2,0.4117647}"
8,4,85703,114,6,153,"{0.64705884,0.875,1.4705882,1.7647059,2.0625,1.0967742}"
9,4,85863,239,238,528,"{9.571428,1.875,1.5294118,1.1764706,0.6666667,0.625,0.9375,1.125,1.1111112,1.0625,1.0625,0.8235294,0.6875,0.5294118,0.25}"
10,4,90331,251,523,264,"{-0.6666667,-0.93333334,-0.8888889,-1.0625,-1.4705882,-1.4705882,-1.6470588,-1.4705882,-1.5333333,-1.081081,-1.0666667,-0.6666667,-0.3529412,-0.11764706}"
11,4,92517,234,263,0,"{-0.4117647,-0.75,-1.6315789,-1.6,-1.6111112,-1.8666667,-1.5263158,-1.4210526,-1.6923077,-1.2352941,-0.9375,-0.6875,-0.3529412,-0.05882353}"
12,4,98628,981,1,1584,"{0.6666667,1.0588236,2,3.4375,7.4444447,11.133333,6.8333335,5.0625,2.3529413,0.0625,0.1764706,0.5882353,0.7647059,0.9375,1.0625,1,1.0588236,1.3529412,1.2941177,1.375,1.2941177,1.1875,1.0454545,1.8,1.4615384,1.3333334,1.3125,1.1666666,1.6875,1.625,1.4117647,1.5625,1.375,1.5882353,1.5294118,1.5555556,1.5,1.4117647,1.625,1.6111112,1.6875,1.5625,1.4705882,1.2352941,1,0.875,0.71428573,0.47058824,0.7058824,0.84210527,1,0.9411765,1,0.8235294,0.7647059,0.6875,0.5,0.3888889,0.16666667}"
13,4,99841,18,1585,1593,"{0.44444445}"
14,4,99898,20,1650,1682,"{1.6}"
15,4,157475,134,4,660,"{0.88235295,2.5882354,5.5333333,7.888889,10,7.2105265,4.375,0.3125}"
16,2,75739,115,13,924,"{4.9333334,12.555555,13.375,10.6875,7,4.9411764,1.4375}"
17,5,37513,33,670,955,"{3.4117646,14.1875}"
18,5,37166,85,7,660,"{6.888889,14.933333,10.444445,6.117647,0.7647059}"
19,5,37579,33,1240,1584,"{12.764706,7.9375}"
20,9,20580,200,648,824,"{2.258825,2.3999994,1.0424231,1.300003,0.7529405,0.75,0.3555535,0.30000305,0.14117432,0.15000153,0.047058105}"
21,12,45876,183,2,720,"{0.37974682,1.0465117,2.4698796,4.4171777,5.6571426,7.055215,7.4375,6.6666665,4.821429,2.6190476,0.75581396}"
22,14,23587,17722,0,600,"{5.882353,5.882353,6.25,5.882353,5.882353}"
23,14,41342,333,700,1400,"{12.5,5.5555553,12.5,6.25}"
24,14,44093,66,200,800,"{18.75,5.882353,6.25,5.882353}"
25,14,44208,17,600,400,"{-11.764706}"
26,14,44259,100,300,800,"{5.882353,12.5}"
27,14,44425,17,600,500,"{-5.882353}"
28,14,44510,16,700,800,"{6.25}"
29,14,44676,33,700,900,"{5.882353,6.25}"
30,14,44759,34,800,600,"{-5.882353,-5.882353}"
31,14,44593,16,600,500,"{-6.25}"
32,14,44842,34,700,900,"{5.882353,5.882353}"
33,14,44942,33,800,500,"{-11.764706,-6.25}"
34,14,45026,33,600,800,"{5.882353,6.25}"
35,14,45126,33,600,400,"{-6.25,-5.882353}"
36,14,45192,84,300,800,"{17.647058,5.882353}"
37,14,45342,50,700,0,"{-23.529411,-6.25,-11.764706}"
38,18,10255,200,1,551,"{0.29761904,0.41916168,0.96385545,1.7159764,3.1288342,4.418605,5.5555553,5.8682632,5.0887575,3.5757575,1.7058823,0.24691358}"
39,19,10035,300,4,228,"{0.5294118,0.75,0.8235294,0.8333333,0.8125,0.8235294,0.8125,1.0588236,1.0625,1,1,0.8888889,0.8235294,0.6875,0.625,0.5,0.2777778,0.125}"
40,19,10885,317,233,570,"{0.5625,0.7222222,0.88235295,1.3125,1.5294118,1.5625,1.4444444,1.4375,1.2941177,1.6,1.3888888,1.4375,1.1764706,1.117647,1,0.7647059,0.5882353,0.375,0.05882353}"
41,19,11719,66,572,620,"{0.5,0.7058824,0.8125,0.88235295}"
42,19,13870,198,1145,1368,"{0.6,0.7222222,0.625,-0.1764706,-0.1875,0.47058824,1.25,2.8235295,2.8823528,2.5294118,1.6,0.29411766}"
